path,line,code,role
"lib/ui/widgets/shared/ink_fade_rect.dart","26","this.centerOpacity = 0.72,","UI style/state or decorative effect; no global removal"
"lib/ui/widgets/shared/ink_fade_rect.dart","39","final double centerOpacity;","UI style/state or decorative effect; no global removal"
"lib/ui/widgets/shared/ink_fade_rect.dart","68","alpha: centerOpacity.clamp(0.0, 1.0),","UI style/state or decorative effect; no global removal"
"lib/ui/widgets/shared/ink_fade_rect.dart","89","return ShaderMask(","UI style/state or decorative effect; no global removal"
"lib/ui/widgets/shared/ink_fade_rect.dart","90","blendMode: BlendMode.dstIn,","UI style/state or decorative effect; no global removal"
"lib/ui/widgets/shared/tabbed_panel.dart","147","? PanelTheme.danger.withValues(alpha: 0.16)","UI style/state or decorative effect; no global removal"
"assets/ui/layouts/char_create_layout.xml","9","- 本檔：位置、尺寸、opacity、色票、互動疊色 → CharCreateUiSpec","UI style/state or decorative effect; no global removal"
"assets/ui/layouts/char_create_layout.xml","64","disabledOpacity=""0.50"" />","UI style/state or decorative effect; no global removal"
"assets/ui/layouts/char_create_layout.xml","74","disabledOpacity=""0.40"" safeExtra=""4"" />","UI style/state or decorative effect; no global removal"
"assets/ui/layouts/char_create_layout.xml","101","unselectedBgOpacity         底色黑度（gradient 下層）","UI style/state or decorative effect; no global removal"
"assets/ui/layouts/char_create_layout.xml","102","unselectedHighlightOpacity  底色高光（gradient 上層）","UI style/state or decorative effect; no global removal"
"assets/ui/layouts/char_create_layout.xml","103","unselectedBorderOpacity     邊框透明度","UI style/state or decorative effect; no global removal"
"assets/ui/layouts/char_create_layout.xml","106","selectedBgOpacity     選中底色（依靈根色 gradient）","UI style/state or decorative effect; no global removal"
"assets/ui/layouts/char_create_layout.xml","107","selectedBorderOpacity 選中邊框透明度（通常 1.0）","UI style/state or decorative effect; no global removal"
"assets/ui/layouts/char_create_layout.xml","109","selectedGlowOpacity   外圈光暈透明度","UI style/state or decorative effect; no global removal"
"assets/ui/layouts/char_create_layout.xml","130","unselectedBgOpacity=""0.20"" selectedBgOpacity=""0.18""","UI style/state or decorative effect; no global removal"
"assets/ui/layouts/char_create_layout.xml","131","unselectedBorderOpacity=""0.24"" unselectedBorderWidth=""1""","UI style/state or decorative effect; no global removal"
"assets/ui/layouts/char_create_layout.xml","132","unselectedHighlightOpacity=""0.06""","UI style/state or decorative effect; no global removal"
"assets/ui/layouts/char_create_layout.xml","134","selectedBorderOpacity=""1.0"" selectedGlowOpacity=""0.35""","UI style/state or decorative effect; no global removal"
"assets/ui/layouts/char_create_layout.xml","145","hintOpacity   提示文字透明度（0=全透明，1=不透明）","UI style/state or decorative effect; no global removal"
"assets/ui/layouts/char_create_layout.xml","149","<nameField fontSize=""26"" hintFontSize=""25"" hintOpacity=""0.54""","UI style/state or decorative effect; no global removal"
"assets/ui/layouts/char_create_layout.xml","157","sectionBgOpacity                     區塊半透明黑底","UI style/state or decorative effect; no global removal"
"assets/ui/layouts/char_create_layout.xml","164","unselectedOverlayOpacity             （deprecated）已改 btn01/btn01_selected 切圖","UI style/state or decorative effect; no global removal"
"assets/ui/layouts/char_create_layout.xml","165","unselectedTextOpacity                （deprecated）","UI style/state or decorative effect; no global removal"
"assets/ui/layouts/char_create_layout.xml","169","sectionBgOpacity=""0.30"" iconSize=""32"" titleFontSize=""14""","UI style/state or decorative effect; no global removal"
"assets/ui/layouts/char_create_layout.xml","173","unselectedOverlayOpacity=""0.45"" unselectedTextOpacity=""0.70""","UI style/state or decorative effect; no global removal"
"assets/ui/layouts/char_create_layout.xml","179","sectionPadding / sectionRadius / sectionBgOpacity  區塊內距、圓角、底色","UI style/state or decorative effect; no global removal"
"assets/ui/layouts/char_create_layout.xml","204","adjustBtnDisabledOpacity  點數用完或達上限時 +/- 透明度","UI style/state or decorative effect; no global removal"
"assets/ui/layouts/char_create_layout.xml","212","sectionBgOpacity=""0.35""","UI style/state or decorative effect; no global removal"
"assets/ui/layouts/char_create_layout.xml","234","adjustBtnDisabledOpacity=""0.40""","UI style/state or decorative effect; no global removal"
"assets/ui/layouts/char_select_layout.xml","9","- 本檔：位置、尺寸、opacity、色票、互動疊色 → CharSelectUiSpec","UI style/state or decorative effect; no global removal"
"assets/ui/layouts/char_select_layout.xml","63","sectionBgOpacity 區塊黑底透明度","UI style/state or decorative effect; no global removal"
"assets/ui/layouts/char_select_layout.xml","68","sectionBgOpacity=""0.35"" />","UI style/state or decorative effect; no global removal"
"assets/ui/layouts/char_select_layout.xml","100","unselectedBgOpacity   未選中底色透明度","UI style/state or decorative effect; no global removal"
"assets/ui/layouts/char_select_layout.xml","101","selectedBgOpacity     選中底色透明度（依靈根色）","UI style/state or decorative effect; no global removal"
"assets/ui/layouts/char_select_layout.xml","102","unselectedBorderOpacity 未選中邊框透明度","UI style/state or decorative effect; no global removal"
"assets/ui/layouts/char_select_layout.xml","104","selectedBorderOpacity   選中邊框透明度","UI style/state or decorative effect; no global removal"
"assets/ui/layouts/char_select_layout.xml","106","selectedGlowOpacity     選中外圈光暈透明度","UI style/state or decorative effect; no global removal"
"assets/ui/layouts/char_select_layout.xml","114","unselectedBgOpacity=""0.18""","UI style/state or decorative effect; no global removal"
"assets/ui/layouts/char_select_layout.xml","115","selectedBgOpacity=""0.25""","UI style/state or decorative effect; no global removal"
"assets/ui/layouts/char_select_layout.xml","116","unselectedBorderOpacity=""0.22"" unselectedBorderWidth=""1.0""","UI style/state or decorative effect; no global removal"
"assets/ui/layouts/char_select_layout.xml","117","selectedBorderOpacity=""1.0"" selectedBorderWidth=""1.5""","UI style/state or decorative effect; no global removal"
"assets/ui/layouts/char_select_layout.xml","118","selectedGlowOpacity=""0.35"" selectedGlowBlur=""8"" />","UI style/state or decorative effect; no global removal"
"assets/ui/xaml/account.xaml","8","color=""{ink}"" centerOpacity=""0""","UI style/state or decorative effect; no global removal"
"assets/ui/xaml/loading.xaml","25","glowColor=""{cyan}"" glowBlur=""14"" glowOpacity=""0.55""","UI style/state or decorative effect; no global removal"
"assets/ui/xaml/server_select.xaml","6","color=""{ink}"" centerOpacity=""0""","UI style/state or decorative effect; no global removal"
"assets/ui/xaml/server_select.xaml","21","selectedGlowColor=""{cyan}"" selectedGlowBlur=""10"" selectedGlowOpacity=""0""","UI style/state or decorative effect; no global removal"
"assets/ui/xaml/server_select.xaml","22","disabledOpacity=""0.45"" />","UI style/state or decorative effect; no global removal"
"assets/ui/xaml/theme.xaml","45","<Opacity id=""fadeCenterOpacity"" value=""0.72"" />","UI style/state or decorative effect; no global removal"
"assets/ui/xaml/theme.xaml","58","<Opacity id=""shadowOpacity"" value=""0.45"" />","UI style/state or decorative effect; no global removal"
"assets/data/object_catalog.json","57","""opacity"": 0.3,","UI style/state or decorative effect; no global removal"
"assets/data/object_catalog.json","79","""opacity"": 0.3,","UI style/state or decorative effect; no global removal"
"assets/data/object_catalog.json","101","""opacity"": 0.3,","UI style/state or decorative effect; no global removal"
"assets/data/object_catalog.json","123","""opacity"": 0.3,","UI style/state or decorative effect; no global removal"
"assets/data/object_catalog.json","144","""opacity"": 0.3,","UI style/state or decorative effect; no global removal"
"assets/data/object_catalog.json","166","""opacity"": 0.3,","UI style/state or decorative effect; no global removal"
